calibration_bin,predicted,observed,rows,observed_ci_low,observed_ci_high
0,0.034157423033638584,0.093031537222065,14763,0.07637521731162257,0.10858281838030175
1,0.05444808582469666,0.2299892238042182,14762,0.2012532559818499,0.2552497192446622
2,0.06913808946903414,0.36130353874041876,14762,0.3030610007147209,0.41518582284285577
3,0.08515121480228496,0.2958885576934718,14762,0.26256726626872195,0.3367435496938295
4,0.10089389946207708,0.2861101282986215,14762,0.24536645194185633,0.32406433203900586
5,0.20330541526902546,0.3011418800552343,14762,0.2674752311429516,0.3458672533395979
6,0.44946280484055756,0.5281277136237972,14762,0.47696937754316415,0.5662548198280029
7,0.7910253238909905,1.049839285066034,14763,0.8764636593415178,1.1353879555664443
