method,baseline,budgets,cells,mean_cost_ratio,auroc_delta,auroc_ci_low,auroc_ci_high,auroc_wins,auroc_ties,auroc_losses,auroc_p,aupr_delta,aupr_ci_low,aupr_ci_high,aupr_wins,aupr_ties,aupr_losses,aupr_p,auroc_p_holm,aupr_p_holm
BayesTraj-Fixed,MC-OE,6,36,1.0,0.049834356058033075,0.023877548368767196,0.07690153452569433,28,0,8,0.00039996000399960006,0.04748389414084321,0.033289307218708444,0.06220052279985941,36,0,0,0.00019998000199980003,0.0023997600239976003,0.0023997600239976003
BayesTraj-Fixed,BSE-Fixed,6,36,1.0,0.04898495104778231,0.02264402047316057,0.07572281042950856,28,0,8,0.00019998000199980003,0.02785388676121827,0.015530665979710766,0.04112774427524685,34,0,2,0.00019998000199980003,0.0023997600239976003,0.0023997600239976003
BayesTraj-Fixed,CoCoA-PPL,6,36,1.0,0.04896987611136704,0.026263054154636204,0.06781162546562018,33,0,3,0.00039996000399960006,0.05044915986522231,0.026580676339424753,0.07683900724480693,31,0,5,0.00019998000199980003,0.0023997600239976003,0.0023997600239976003
BayesTraj-Adaptive,MC-OE,6,36,0.8010379540900678,0.04337049842922595,0.016988517199084747,0.07020415768972565,23,0,13,0.0007999200079992001,0.04100008798487081,0.025080299668056593,0.0572552466503501,33,0,3,0.00019998000199980003,0.0031996800319968005,0.0023997600239976003
BayesTraj-Adaptive,BSE-Fixed,6,36,0.8010379540900678,0.04252109341897518,0.01579039541912972,0.07052889049609316,22,0,14,0.001999800019998,0.021370080605245874,0.006306679724091385,0.03693087666162458,24,0,12,0.0045995400459954,0.003999600039996,0.0045995400459954
BayesTraj-Adaptive,CoCoA-PPL,6,36,0.8010379540900678,0.04250601848255991,0.022202399002116204,0.06026919782759925,33,0,3,0.0011998800119988001,0.043965353709249914,0.022491118979066003,0.06841678200587564,30,0,6,0.00019998000199980003,0.0035996400359964006,0.0023997600239976003
