dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories,webshop_bucket_variant
webshop,gemma3,webshop-gemma3,101,KLE,4,complete_z16_ordered_prefix,200,200,1.0,0.5134943181818182,0.8838111888111888,4.0,
webshop,gemma3,webshop-gemma3,101,KLE,6,complete_z16_ordered_prefix,200,200,1.0,0.5382339015151516,0.8893401342975207,6.0,
webshop,gemma3,webshop-gemma3,101,KLE,8,complete_z16_ordered_prefix,200,200,1.0,0.5525568181818181,0.8929528676228209,8.0,
webshop,gemma3,webshop-gemma3,101,KLE,12,complete_z16_ordered_prefix,200,200,1.0,0.5723248106060607,0.8981459746957235,12.0,
webshop,gemma3,webshop-gemma3,101,KLE,16,complete_z16_ordered_prefix,200,200,1.0,0.5857007575757576,0.9003448850332686,16.0,
webshop,gemma3,webshop-gemma3,101,LS,3,complete_z16_ordered_prefix,200,200,1.0,0.47786458333333337,0.8891443363054974,3.0,
webshop,gemma3,webshop-gemma3,101,LS,4,complete_z16_ordered_prefix,200,200,1.0,0.4788115530303031,0.8875871963042881,4.0,
webshop,gemma3,webshop-gemma3,101,LS,6,complete_z16_ordered_prefix,200,200,1.0,0.4788115530303031,0.8875871963042881,6.0,
webshop,gemma3,webshop-gemma3,101,LS,8,complete_z16_ordered_prefix,200,200,1.0,0.4788115530303031,0.8875871963042881,8.0,
webshop,gemma3,webshop-gemma3,101,LS,12,complete_z16_ordered_prefix,200,200,1.0,0.4788115530303031,0.8875871963042881,12.0,
webshop,gemma3,webshop-gemma3,101,LS,16,complete_z16_ordered_prefix,200,200,1.0,0.4788115530303031,0.8875871963042881,16.0,
webshop,gemma3,webshop-gemma3,101,MC-OE,3,complete_z16_ordered_prefix,200,200,1.0,0.5807291666666667,0.9012025118441047,3.0,
webshop,gemma3,webshop-gemma3,101,MC-OE,4,complete_z16_ordered_prefix,200,200,1.0,0.6219223484848486,0.9207703509820083,4.0,
webshop,gemma3,webshop-gemma3,101,MC-OE,6,complete_z16_ordered_prefix,200,200,1.0,0.5987215909090908,0.9149387163492823,6.0,
webshop,gemma3,webshop-gemma3,101,MC-OE,8,complete_z16_ordered_prefix,200,200,1.0,0.5527935606060606,0.9041443042415728,8.0,
webshop,gemma3,webshop-gemma3,101,MC-OE,12,complete_z16_ordered_prefix,200,200,1.0,0.5535037878787878,0.9055318445113119,12.0,
webshop,gemma3,webshop-gemma3,101,MC-OE,16,complete_z16_ordered_prefix,200,200,1.0,0.5529119318181819,0.9040175584856284,16.0,
webshop,gemma3,webshop-gemma3,101,PE,3,complete_z16_ordered_prefix,200,200,1.0,0.5419034090909091,0.8816983059520098,3.0,
webshop,gemma3,webshop-gemma3,101,PE,4,complete_z16_ordered_prefix,200,200,1.0,0.5293560606060606,0.8755536066658864,4.0,
webshop,gemma3,webshop-gemma3,101,PE,6,complete_z16_ordered_prefix,200,200,1.0,0.5378787878787878,0.8869325247128761,6.0,
webshop,gemma3,webshop-gemma3,101,PE,8,complete_z16_ordered_prefix,200,200,1.0,0.47869318181818177,0.8709638365285719,8.0,
webshop,gemma3,webshop-gemma3,101,PE,12,complete_z16_ordered_prefix,200,200,1.0,0.4675662878787879,0.8660138890121042,12.0,
webshop,gemma3,webshop-gemma3,101,PE,16,complete_z16_ordered_prefix,200,200,1.0,0.4753787878787879,0.868088734902764,16.0,
webshop,gemma3,webshop-gemma3,101,PPL,3,complete_z16_ordered_prefix,200,200,1.0,0.5215435606060606,0.8749781423212922,3.0,
webshop,gemma3,webshop-gemma3,101,PPL,4,complete_z16_ordered_prefix,200,200,1.0,0.506155303030303,0.8677224258058389,4.0,
webshop,gemma3,webshop-gemma3,101,PPL,6,complete_z16_ordered_prefix,200,200,1.0,0.5,0.8665419539497281,6.0,
webshop,gemma3,webshop-gemma3,101,PPL,8,complete_z16_ordered_prefix,200,200,1.0,0.43821022727272724,0.8623336309340282,8.0,
webshop,gemma3,webshop-gemma3,101,PPL,12,complete_z16_ordered_prefix,200,200,1.0,0.4405776515151515,0.8612902253997556,12.0,
webshop,gemma3,webshop-gemma3,101,PPL,16,complete_z16_ordered_prefix,200,200,1.0,0.4599905303030303,0.8690044213661252,16.0,
webshop,gemma3,webshop-gemma3,101,SAUP,16,complete_z16_endpoint_only,200,200,1.0,0.4808238636363636,0.8681325742433891,16.0,
webshop,gemma3,webshop-gemma3,101,SD,3,complete_z16_ordered_prefix,200,200,1.0,0.46602746212121215,0.8743820189537224,3.0,
webshop,gemma3,webshop-gemma3,101,SD,4,complete_z16_ordered_prefix,200,200,1.0,0.46508049242424243,0.8732866614240354,4.0,
webshop,gemma3,webshop-gemma3,101,SD,6,complete_z16_ordered_prefix,200,200,1.0,0.46508049242424243,0.8732866614240354,6.0,
webshop,gemma3,webshop-gemma3,101,SD,8,complete_z16_ordered_prefix,200,200,1.0,0.46508049242424243,0.8732866614240354,8.0,
webshop,gemma3,webshop-gemma3,101,SD,12,complete_z16_ordered_prefix,200,200,1.0,0.46508049242424243,0.8732866614240354,12.0,
webshop,gemma3,webshop-gemma3,101,SD,16,complete_z16_ordered_prefix,200,200,1.0,0.46508049242424243,0.8732866614240354,16.0,
webshop,gemma3,webshop-gemma3,101,SE,3,complete_z16_ordered_prefix,200,200,1.0,0.5187026515151516,0.8861759677251323,3.0,
webshop,gemma3,webshop-gemma3,101,SE,4,complete_z16_ordered_prefix,200,200,1.0,0.5196496212121212,0.8833811876275806,4.0,
webshop,gemma3,webshop-gemma3,101,SE,6,complete_z16_ordered_prefix,200,200,1.0,0.5196496212121212,0.8833811876275806,6.0,
webshop,gemma3,webshop-gemma3,101,SE,8,complete_z16_ordered_prefix,200,200,1.0,0.5196496212121212,0.8833811876275806,8.0,
webshop,gemma3,webshop-gemma3,101,SE,12,complete_z16_ordered_prefix,200,200,1.0,0.5196496212121212,0.8833811876275806,12.0,
webshop,gemma3,webshop-gemma3,101,SE,16,complete_z16_ordered_prefix,200,200,1.0,0.5196496212121212,0.8833811876275806,16.0,
webshop,gemma3,webshop-gemma3,101,SNNE,3,complete_z16_ordered_prefix,200,200,1.0,0.5164535984848486,0.8849612887112889,3.0,
webshop,gemma3,webshop-gemma3,101,SNNE,4,complete_z16_ordered_prefix,200,200,1.0,0.5258049242424242,0.8891544117647059,4.0,
webshop,gemma3,webshop-gemma3,101,SNNE,6,complete_z16_ordered_prefix,200,200,1.0,0.5471117424242423,0.8921973584014028,6.0,
webshop,gemma3,webshop-gemma3,101,SNNE,8,complete_z16_ordered_prefix,200,200,1.0,0.5621448863636364,0.8969154420141263,8.0,
webshop,gemma3,webshop-gemma3,101,SNNE,12,complete_z16_ordered_prefix,200,200,1.0,0.580847537878788,0.9001066959448037,12.0,
webshop,gemma3,webshop-gemma3,101,SNNE,16,complete_z16_ordered_prefix,200,200,1.0,0.5920928030303031,0.9028197511687007,16.0,
