dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories
webshop,gptoss20b,webshop-gptoss20b,202,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,200,200,1.0,0.5102306547619048,0.8618143750474594,
webshop,gptoss20b,webshop-gptoss20b,202,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,200,200,1.0,0.5632440476190476,0.8643480620105685,
webshop,gptoss20b,webshop-gptoss20b,202,CoCoA-MaxProb,2,complete_z16_ordered_prefix,200,200,1.0,0.5118117559523808,0.8656110129388037,
webshop,gptoss20b,webshop-gptoss20b,202,CoCoA-PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.5414806547619048,0.8707466859907754,
webshop,gptoss20b,webshop-gptoss20b,202,Degree,2,strict_z8_n4_prefix,200,200,1.0,0.6724330357142857,0.8899073609784554,
webshop,gptoss20b,webshop-gptoss20b,202,EigV,2,complete_z16_ordered_prefix,200,200,1.0,0.5637090773809523,0.8642599742599741,
webshop,gptoss20b,webshop-gptoss20b,202,KLE,2,complete_z16_ordered_prefix,200,200,1.0,0.5267857142857143,0.8485714285714285,
webshop,gptoss20b,webshop-gptoss20b,202,LS,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.84,
webshop,gptoss20b,webshop-gptoss20b,202,MC-OE,2,complete_z16_ordered_prefix,200,200,1.0,0.5364583333333333,0.8499745547073791,
webshop,gptoss20b,webshop-gptoss20b,202,PE,2,complete_z16_ordered_prefix,200,200,1.0,0.5215773809523809,0.8624798285651379,
webshop,gptoss20b,webshop-gptoss20b,202,PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.429501488095238,0.8171979644721286,
webshop,gptoss20b,webshop-gptoss20b,202,SD,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.84,
webshop,gptoss20b,webshop-gptoss20b,202,SE,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.84,
