dataset,backbone,combination,seed,method,budget,trajectory_regime,tasks,used,coverage,auroc,aupr,mean_trajectories
strategyqa,qwen35,strategyqa-qwen35,101,UProp,2,strict_z8_n4_prefix,687,687,1.0,0.7633017163504968,0.2714412456885219,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,687,687,1.0,0.568224722494903,0.1224868826284213,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,687,687,1.0,0.5499886732613456,0.1121579041138937,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,687,687,1.0,0.6076984067054293,0.1315012333966416,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,CoCoA-PPL,2,complete_z16_ordered_prefix,687,687,1.0,0.6305217850940119,0.1236079814992334,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,Degree,2,strict_z8_n4_prefix,687,687,1.0,0.7907385033602659,0.1816163744884857,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,EigV,2,complete_z16_ordered_prefix,687,687,1.0,0.5605791739031941,0.1151416788111578,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,KLE,2,complete_z16_ordered_prefix,687,687,1.0,0.5917654609982632,0.094899734310595,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,LS,2,complete_z16_ordered_prefix,687,687,1.0,0.7907385033602657,0.1814858923968916,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,MC-OE,2,complete_z16_ordered_prefix,687,687,1.0,0.5894434795741147,0.0920280415434318,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,PE,2,complete_z16_ordered_prefix,687,687,1.0,0.7864154647738427,0.1690660407148715,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,PPL,2,complete_z16_ordered_prefix,687,687,1.0,0.669674545042664,0.104124752579094,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,SD,2,complete_z16_ordered_prefix,687,687,1.0,0.7039379294721739,0.1070589739758595,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,SE,2,complete_z16_ordered_prefix,687,687,1.0,0.7745601449822548,0.1600460946564897,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,SNNE,2,complete_z16_ordered_prefix,687,687,1.0,0.5882730499131616,0.0920280415434318,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,SentSAR,2,complete_z16_ordered_prefix,687,687,1.0,0.6663142792418636,0.1282872164363881,
strategyqa,gptoss20b,strategyqa-gptoss20b,101,UProp,2,strict_z8_n4_prefix,687,687,1.0,0.7742958544136525,0.1639821756290078,
webshop,qwen35,webshop-qwen35,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,200,200,1.0,0.643970189701897,0.8933557363040066,
webshop,qwen35,webshop-qwen35,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,200,200,1.0,0.6143292682926829,0.8698175825360595,
webshop,qwen35,webshop-qwen35,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,200,200,1.0,0.6327913279132792,0.8913942342236082,
webshop,qwen35,webshop-qwen35,101,CoCoA-PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.611280487804878,0.8820917654854077,
webshop,qwen35,webshop-qwen35,101,Degree,2,strict_z8_n4_prefix,200,200,1.0,0.4522357723577236,0.8118833394664093,
webshop,qwen35,webshop-qwen35,101,EigV,2,complete_z16_ordered_prefix,200,200,1.0,0.6246612466124662,0.8773386228360911,
webshop,qwen35,webshop-qwen35,101,KLE,2,complete_z16_ordered_prefix,200,200,1.0,0.5697831978319783,0.8436441893830704,
webshop,qwen35,webshop-qwen35,101,LS,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.82,
webshop,qwen35,webshop-qwen35,101,MC-OE,2,complete_z16_ordered_prefix,200,200,1.0,0.5860433604336044,0.8468844914864243,
webshop,qwen35,webshop-qwen35,101,PE,2,complete_z16_ordered_prefix,200,200,1.0,0.5880758807588076,0.8703521369887974,
webshop,qwen35,webshop-qwen35,101,PPL,2,complete_z16_ordered_prefix,200,200,1.0,0.5575880758807589,0.8604264107004912,
webshop,qwen35,webshop-qwen35,101,SD,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.82,
webshop,qwen35,webshop-qwen35,101,SE,2,complete_z16_ordered_prefix,200,200,1.0,0.5,0.82,
webshop,qwen35,webshop-qwen35,101,SNNE,2,complete_z16_ordered_prefix,200,200,1.0,0.6296578590785908,0.8608053080331689,
webshop,qwen35,webshop-qwen35,101,SentSAR,2,complete_z16_ordered_prefix,200,200,1.0,0.5880758807588076,0.8703521369887974,
webshop,qwen35,webshop-qwen35,101,UProp,2,strict_z8_n4_prefix,200,200,1.0,0.6236449864498644,0.8740641434074556,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,1000,1000,1.0,0.6070158198211818,0.4930904122559255,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,1000,1000,1.0,0.6296641595168803,0.5076008326498033,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,1000,991,0.991,0.6078705091422943,0.5225130417471926,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,CoCoA-PPL,2,complete_z16_ordered_prefix,1000,991,0.991,0.6126621847300133,0.5214843285712009,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,Degree,2,strict_z8_n4_prefix,1000,1000,1.0,0.6006723528991808,0.4819990307859938,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,EigV,2,complete_z16_ordered_prefix,1000,991,0.991,0.6023187599023679,0.5060213336361047,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,KLE,2,complete_z16_ordered_prefix,1000,991,0.991,0.5278700809317861,0.4115243531312442,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,LS,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.391,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,MC-OE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.6186297607498772,0.4712261345387497,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,PE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5865638609266794,0.4559704795031694,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,PPL,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5216089434274459,0.4064284101346405,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,SD,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.391,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,SE,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5,0.391,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,SNNE,2,complete_z16_ordered_prefix,1000,991,0.991,0.6152314477797285,0.4660516417328506,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,SentSAR,2,complete_z16_ordered_prefix,1000,1000,1.0,0.5865638609266794,0.4559704795031694,
hotpotqa,gptoss20b,hotpotqa-gptoss20b,101,UProp,2,strict_z8_n4_prefix,1000,1000,1.0,0.5617191404297852,0.4384449980451567,
dbbench,qwen35,dbbench-qwen35,101,BSE-Ciosek-Adaptive,2,complete_z16_ordered_prefix,300,300,1.0,0.69897689610452,0.5377817779956872,
dbbench,qwen35,dbbench-qwen35,101,BSE-Ciosek-Fixed,2,complete_z16_ordered_prefix,300,300,1.0,0.6489744944521831,0.5005684863367241,
dbbench,qwen35,dbbench-qwen35,101,CoCoA-MaxProb,2,complete_z16_ordered_prefix,300,300,1.0,0.606945578558048,0.5158611621096494,
dbbench,qwen35,dbbench-qwen35,101,CoCoA-PPL,2,complete_z16_ordered_prefix,300,300,1.0,0.6068495124645756,0.5353597364621219,
dbbench,qwen35,dbbench-qwen35,101,Degree,2,strict_z8_n4_prefix,300,300,1.0,0.6582929055189971,0.5382192730797074,
dbbench,qwen35,dbbench-qwen35,101,EigV,2,complete_z16_ordered_prefix,300,300,1.0,0.6028147365387387,0.5099720821413025,
dbbench,qwen35,dbbench-qwen35,101,KLE,2,complete_z16_ordered_prefix,300,300,1.0,0.5629713242710985,0.4091524683267802,
dbbench,qwen35,dbbench-qwen35,101,LS,2,complete_z16_ordered_prefix,300,300,1.0,0.6576444593880588,0.5378024999336987,
dbbench,qwen35,dbbench-qwen35,101,MC-OE,2,complete_z16_ordered_prefix,300,300,1.0,0.6272635573274412,0.4543720578634505,
dbbench,qwen35,dbbench-qwen35,101,PE,2,complete_z16_ordered_prefix,300,300,1.0,0.6850473125510351,0.5665812596127038,
dbbench,qwen35,dbbench-qwen35,101,PPL,2,complete_z16_ordered_prefix,300,300,1.0,0.6577645420048994,0.5201208853568984,
dbbench,qwen35,dbbench-qwen35,101,SD,2,complete_z16_ordered_prefix,300,300,1.0,0.596378308276094,0.4691709335803763,
dbbench,qwen35,dbbench-qwen35,101,SE,2,complete_z16_ordered_prefix,300,300,1.0,0.6841827177097842,0.553200945315017,
dbbench,qwen35,dbbench-qwen35,101,SNNE,2,complete_z16_ordered_prefix,300,300,1.0,0.6465968586387434,0.4866242392932076,
