dataset,backbone,seed,budget,count_mse,fused_mse,coverage95,mean_variance
webshop,gptoss20b,202,6,0.03490622561378202,0.03090954709081246,0.935,0.013802694048332032
webshop,gptoss20b,202,8,0.023310786728645696,0.023013802035273426,0.925,0.011887526793569237
webshop,gptoss20b,202,12,0.009464687736605987,0.011864645018406457,0.96,0.009452995991405288
webshop,gptoss20b,202,16,0.004774850486270469,0.007348450053336586,0.985,0.007827255564687531
webshop,gptoss20b,303,3,0.06195179585273013,0.05214624279493998,0.92,0.02048042364329742
webshop,gptoss20b,303,4,0.04667073661554766,0.042625407854707795,0.905,0.017793002607575298
webshop,gptoss20b,303,6,0.029953213955800848,0.02924558673069029,0.925,0.014043662404184167
webshop,gptoss20b,303,8,0.018094288705751253,0.01934869456432364,0.945,0.011637780060818599
webshop,gptoss20b,303,12,0.009019678551867964,0.011676063765763862,0.965,0.009115346992724503
webshop,gptoss20b,303,16,0.004757265907853298,0.007529728915037832,0.985,0.00775907226828869
webshop,qwen35,101,3,0.23137712547894854,0.17971934193760716,0.695,0.028994774257027456
webshop,qwen35,101,4,0.1740669881927734,0.13615395725983725,0.705,0.025025880882515297
webshop,qwen35,101,6,0.07013575260421628,0.06286322389822137,0.825,0.01975834162190157
webshop,qwen35,101,8,0.04215580314323992,0.04045645921339183,0.86,0.01611104579914795
webshop,qwen35,101,12,0.018139447348749043,0.02001452569999413,0.94,0.014299441957744866
webshop,qwen35,101,16,0.004401580837551935,0.008003678770937842,0.995,0.012799342067405343
webshop,qwen35,202,3,0.23180634581544315,0.18366555235054657,0.705,0.028150859769323452
webshop,qwen35,202,4,0.2060440871857605,0.16461992259816366,0.7,0.024639412818932338
webshop,qwen35,202,6,0.0917063961049644,0.07897735284798979,0.77,0.020603810546551152
webshop,qwen35,202,8,0.05175812711146323,0.04951501496259625,0.84,0.017735086076073697
webshop,qwen35,202,12,0.01681155894629273,0.01956161394880918,0.96,0.015222424718390009
webshop,qwen35,202,16,0.004720268803514353,0.00824173305494148,0.995,0.013323347399380243
webshop,qwen35,303,3,0.2515989209049036,0.20442964783308337,0.67,0.029816897443575824
webshop,qwen35,303,4,0.18809564322885808,0.15809235054315912,0.715,0.025769714395243542
webshop,qwen35,303,6,0.07760510949356163,0.07289406594829637,0.795,0.02024302122345518
webshop,qwen35,303,8,0.047819348068896775,0.047250134239444595,0.825,0.017195304786310386
webshop,qwen35,303,12,0.0172681236740808,0.020642599496480805,0.94,0.014936583442592289
webshop,qwen35,303,16,0.004334912615999717,0.007678210409664401,0.995,0.012982119639661848
